Time,Power,Force,Tail Length,EFO Current,Temp,Ball-area,Ball-Version,Ball-Shear,Ball-Size(X) ,Ball-Size(Y) ,Ball-Size(Z) 
50,60,40,250,35,160,5,1,46.96,70,75,12
50,60,40,250,35,160,5,1,55.01,70,70,12
50,60,40,250,35,160,5,1,52.93,68,69,14
50,60,40,250,35,160,5,1,51.93,68,69,13
50,60,40,250,35,160,5,1,53.46,68,70,13
50,60,40,250,35,160,5,1,42.54,72,77,13
50,60,40,250,35,160,5,1,48.06,70,70,11
50,60,40,250,35,160,5,1,43.37,70,70,13
50,60,40,250,35,160,5,1,51.34,68,69,12
50,60,40,250,35,160,5,1,43.04,70,78,12
50,60,40,250,35,160,5,0,52.71,74,79,11
50,60,40,250,35,160,5,0,51.05,72,71,12
50,60,40,250,35,160,5,0,50.37,72,74,13
50,60,40,250,35,160,5,0,47.94,70,72,13
50,60,40,250,35,160,5,0,49.03,70,71,12
50,60,40,250,35,160,5,0,40.67,74,77,11
50,60,40,250,35,160,5,0,47.64,70,74,12
50,60,40,250,35,160,5,0,50.66,72,69,12
50,60,40,250,35,160,5,0,47.15,73,75,12
50,60,40,250,35,160,5,0,39.07,72,77,12
50,60,40,250,35,160,15,1,46.35,71,75,12
50,60,40,250,35,160,15,1,55.03,70,74,12
50,60,40,250,35,160,15,1,55.36,70,74,12
50,60,40,250,35,160,15,1,47.06,70,73,12
50,60,40,250,35,160,15,1,53.29,72,78,13
50,60,40,250,35,160,15,1,45.65,72,78,13
50,60,40,250,35,160,15,1,51.18,70,70,13
50,60,40,250,35,160,15,1,54.33,72,75,13
50,60,40,250,35,160,15,1,48,72,74,13
50,60,40,250,35,160,15,1,46.06,70,73,12
50,60,40,250,35,160,15,0,45.12,72,76,12
50,60,40,250,35,160,15,0,49.04,72,73,12
50,60,40,250,35,160,15,0,50.35,71,76,12
50,60,40,250,35,160,15,0,46.45,70,70,13
50,60,40,250,35,160,15,0,54.04,74,77,13
50,60,40,250,35,160,15,0,55.79,72,77,14
50,60,40,250,35,160,15,0,50.86,70,74,13
50,60,40,250,35,160,15,0,47.07,71,74,13
50,60,40,250,35,160,15,0,48.39,72,75,13
50,60,40,250,35,160,15,0,50.56,70,73,13
50,60,40,250,35,160,25,1,46.79,74,78,12
50,60,40,250,35,160,25,1,48.56,70,70,12
50,60,40,250,35,160,25,1,47.48,70,78,13
50,60,40,250,35,160,25,1,53.15,68,70,12
50,60,40,250,35,160,25,1,49.9,70,69,13
50,60,40,250,35,160,25,1,52.87,74,76,13
50,60,40,250,35,160,25,1,46.44,70,71,13
50,60,40,250,35,160,25,1,46.3,70,72,13
50,60,40,250,35,160,25,1,46.39,68,70,13
50,60,40,250,35,160,25,1,42.43,72,74,14
50,60,40,250,35,160,25,0,44.96,72,76,13
50,60,40,250,35,160,25,0,47.17,72,75,12
50,60,40,250,35,160,25,0,49.22,72,76,13
50,60,40,250,35,160,25,0,46.56,69,75,13
50,60,40,250,35,160,25,0,49.18,70,74,13
50,60,40,250,35,160,25,0,46.8,72,78,14
50,60,40,250,35,160,25,0,46.74,72,76,13
50,60,40,250,35,160,25,0,51.17,70,73,13
50,60,40,250,35,160,25,0,50.28,75,76,14
50,60,40,250,35,160,25,0,44.14,72,73,13
40,45,40,250,35,160,5,1,47.98,68,69,13
40,45,40,250,35,160,5,1,51.2,68,69,13
40,45,40,250,35,160,5,1,52.02,70,69,14
40,45,40,250,35,160,5,1,49.75,68,68,13
40,45,40,250,35,160,5,1,50.23,68,68,13
40,45,40,250,35,160,5,1,47.74,70,69,13
40,45,40,250,35,160,5,1,50.29,70,69,13
40,45,40,250,35,160,5,1,54.35,70,70,13
40,45,40,250,35,160,5,1,50.97,70,71,13
40,45,40,250,35,160,5,1,48.37,68,68,13
40,45,40,250,35,160,5,0,45.54,70,69,13
40,45,40,250,35,160,5,0,48.84,72,69,14
40,45,40,250,35,160,5,0,51.72,70,70,14
40,45,40,250,35,160,5,0,49.92,68,69,14
40,45,40,250,35,160,5,0,48.64,68,68,13
40,45,40,250,35,160,5,0,49.74,70,69,13
40,45,40,250,35,160,5,0,47.58,70,69,13
40,45,40,250,35,160,5,0,49.92,72,69,13
40,45,40,250,35,160,5,0,48.73,68,70,13
40,45,40,250,35,160,5,0,46.58,68,70,13
40,45,40,250,35,160,15,1,50.79,70,69,14
40,45,40,250,35,160,15,1,49.1,68,69,14
40,45,40,250,35,160,15,1,58.29,70,68,13
40,45,40,250,35,160,15,1,48.48,68,68,13
40,45,40,250,35,160,15,1,50.09,70,71,13
40,45,40,250,35,160,15,1,49.94,70,69,14
40,45,40,250,35,160,15,1,51.05,70,69,14
40,45,40,250,35,160,15,1,48.51,70,69,14
40,45,40,250,35,160,15,1,51.13,68,70,14
40,45,40,250,35,160,15,1,47.8,68,68,14
40,45,40,250,35,160,15,0,49.25,70,69,14
40,45,40,250,35,160,15,0,51.73,70,69,14
40,45,40,250,35,160,15,0,52.37,68,70,13
40,45,40,250,35,160,15,0,49.05,70,69,14
40,45,40,250,35,160,15,0,49.54,70,71,14
40,45,40,250,35,160,15,0,49.08,72,69,14
40,45,40,250,35,160,15,0,49.91,69,70,14
40,45,40,250,35,160,15,0,50.71,68,69,14
40,45,40,250,35,160,15,0,51.43,70,70,14
40,45,40,250,35,160,15,0,46.63,68,68,14
40,45,40,250,35,160,25,1,49.32,70,69,14
40,45,40,250,35,160,25,1,53.28,68,68,14
40,45,40,250,35,160,25,1,49.65,70,70,14
40,45,40,250,35,160,25,1,51.04,68,68,14
40,45,40,250,35,160,25,1,54.33,70,70,14
40,45,40,250,35,160,25,1,49.26,70,69,14
40,45,40,250,35,160,25,1,49.3,68,70,13
40,45,40,250,35,160,25,1,51.69,68,68,13
40,45,40,250,35,160,25,1,47.38,70,69,13
40,45,40,250,35,160,25,1,43.11,68,69,14
40,45,40,250,35,160,25,0,46.79,70,70,13
40,45,40,250,35,160,25,0,51.13,70,70,13
40,45,40,250,35,160,25,0,50.89,70,70,14
40,45,40,250,35,160,25,0,47.98,68,69,14
40,45,40,250,35,160,25,0,46.41,70,69,13
40,45,40,250,35,160,25,0,48.72,70,70,13
40,45,40,250,35,160,25,0,47.86,70,70,13
40,45,40,250,35,160,25,0,47.57,70,68,13
40,45,40,250,35,160,25,0,51.68,68,70,13
40,45,40,250,35,160,25,0,47.84,70,69,14
40,60,40,250,35,160,5,1,47.61,70,73,13
40,60,40,250,35,160,5,1,50.06,68,69,13
40,60,40,250,35,160,5,1,49.73,68,71,12
40,60,40,250,35,160,5,1,47.85,69,69,13
40,60,40,250,35,160,5,1,48.08,70,70,13
40,60,40,250,35,160,5,1,46.16,72,78,14
40,60,40,250,35,160,5,1,46.63,70,69,13
40,60,40,250,35,160,5,1,50.72,70,74,14
40,60,40,250,35,160,5,1,47.83,70,70,14
40,60,40,250,35,160,5,1,41.97,70,74,13
40,60,40,250,35,160,5,0,45.56,72,76,13
40,60,40,250,35,160,5,0,49.18,68,71,13
40,60,40,250,35,160,5,0,52.57,72,71,12
40,60,40,250,35,160,5,0,49.64,72,72,13
40,60,40,250,35,160,5,0,45.93,74,75,13
