No.,Item,Time,Power,Force,Tail Length,EFO Current,Temp,Ball-area,Ball-Version ,Ball-Shear,Ball-Size(X) ,Ball-Size(Y) ,Ball-Size(Z) ,Ball-g
475,8,40,60,40,250,35,160,25,N,54.55,77,81,10,1
476,8,40,60,40,250,35,160,25,N,50.65,74,79,9,1
477,8,40,60,40,250,35,160,25,N,51.05,78,81,10,1
478,8,40,60,40,250,35,160,25,N,51.36,72,77,11,1
479,8,40,60,40,250,35,160,25,N,49.08,75,80,12,1
480,8,40,60,40,250,35,160,25,N,48.07,72,76,11,1
611,11,40,60,40,250,35,160,5,N,44.31,73,78,11,2
612,11,40,60,40,250,35,160,5,N,46.26,75,76,13,2
613,11,40,60,40,250,35,160,5,N,53.03,75,78,15,2
614,11,40,60,40,250,35,160,5,N,49.33,73,75,13,2
615,11,40,60,40,250,35,160,5,N,47.64,75,81,13,2
616,11,40,60,40,250,35,160,5,N,45.75,74,79,13,2
617,11,40,60,40,250,35,160,5,N,49.96,75,80,13,2
618,11,40,60,40,250,35,160,5,N,46.26,74,75,13,2
619,11,40,60,40,250,35,160,5,N,54.47,74,78,14,2
620,11,40,60,40,250,35,160,5,N,51.72,74,76,14,2
631,11,40,60,40,250,35,160,15,N,49.42,74,79,15,2
632,11,40,60,40,250,35,160,15,N,43.51,74,76,13,2
633,11,40,60,40,250,35,160,15,N,51.92,75,77,13,2
634,11,40,60,40,250,35,160,15,N,48.65,74,73,14,2
635,11,40,60,40,250,35,160,15,N,49.62,74,77,13,2
636,11,40,60,40,250,35,160,15,N,49.99,74,74,13,2
637,11,40,60,40,250,35,160,15,N,48.2,74,77,14,2
638,11,40,60,40,250,35,160,15,N,50.49,71,77,13,2
639,11,40,60,40,250,35,160,15,N,53.56,71,73,14,2
640,11,40,60,40,250,35,160,15,N,51.57,74,75,13,2
651,11,40,60,40,250,35,160,25,N,46.48,75,80,13,2
652,11,40,60,40,250,35,160,25,N,52.89,71,73,14,2
653,11,40,60,40,250,35,160,25,N,52.07,75,76,13,2
654,11,40,60,40,250,35,160,25,N,45.66,74,76,13,2
655,11,40,60,40,250,35,160,25,N,50.7,75,80,13,2
656,11,40,60,40,250,35,160,25,N,45.76,75,78,13,2
657,11,40,60,40,250,35,160,25,N,50.67,78,79,14,2
658,11,40,60,40,250,35,160,25,N,46.04,71,76,14,2
659,11,40,60,40,250,35,160,25,N,51.15,71,76,13,2
660,11,40,60,40,250,35,160,25,N,49.6,74,76,14,2
791,14,40,60,40,250,35,160,5,N,48.17,72,76,12,2
792,14,40,60,40,250,35,160,5,N,49.92,72,75,12,2
793,14,40,60,40,250,35,160,5,N,49.9,72,77,12,2
794,14,40,60,40,250,35,160,5,N,46.43,73,77,13,2
795,14,40,60,40,250,35,160,5,N,44.96,72,73,12,2
796,14,40,60,40,250,35,160,5,N,42.04,74,76,12,2
797,14,40,60,40,250,35,160,5,N,53.51,73,77,11,2
798,14,40,60,40,250,35,160,5,N,44.85,72,76,12,2
799,14,40,60,40,250,35,160,5,N,51.01,70,75,12,2
800,14,40,60,40,250,35,160,5,N,45.1,70,76,11,2
811,14,40,60,40,250,35,160,15,N,48.12,72,76,12,2
812,14,40,60,40,250,35,160,15,N,50.63,72,72,12,2
813,14,40,60,40,250,35,160,15,N,51.26,74,75,12,2
814,14,40,60,40,250,35,160,15,N,46.16,70,73,12,2
815,14,40,60,40,250,35,160,15,N,49.63,72,77,13,2
816,14,40,60,40,250,35,160,15,N,50.35,72,75,13,2
817,14,40,60,40,250,35,160,15,N,50.92,73,76,13,2
818,14,40,60,40,250,35,160,15,N,45.77,70,72,14,2
819,14,40,60,40,250,35,160,15,N,47.6,72,77,12,2
820,14,40,60,40,250,35,160,15,N,44.96,72,73,14,2
831,14,40,60,40,250,35,160,25,N,52.51,72,78,12,2
832,14,40,60,40,250,35,160,25,N,54.25,72,76,12,2
833,14,40,60,40,250,35,160,25,N,52.06,72,77,12,2
834,14,40,60,40,250,35,160,25,N,49.23,70,74,12,2
835,14,40,60,40,250,35,160,25,N,49.29,72,76,13,2
836,14,40,60,40,250,35,160,25,N,39.59,72,78,13,2
837,14,40,60,40,250,35,160,25,N,49.37,74,78,13,2
838,14,40,60,40,250,35,160,25,N,52.75,72,75,12,2
839,14,40,60,40,250,35,160,25,N,47.7,72,78,13,2
840,14,40,60,40,250,35,160,25,N,42.37,72,74,12,2
971,17,40,60,40,250,35,160,5,N,48.76,71,73,13,2
972,17,40,60,40,250,35,160,5,N,53.77,69,71,13,2
973,17,40,60,40,250,35,160,5,N,52.44,73,79,13,2
974,17,40,60,40,250,35,160,5,N,45.39,71,74,13,2
975,17,40,60,40,250,35,160,5,N,44.21,72,75,12,2
976,17,40,60,40,250,35,160,5,N,47.29,70,77,12,2
977,17,40,60,40,250,35,160,5,N,48.83,72,77,12,2
978,17,40,60,40,250,35,160,5,N,44.03,70,73,13,2
979,17,40,60,40,250,35,160,5,N,42.8,72,74,13,2
980,17,40,60,40,250,35,160,5,N,44.36,70,73,13,2
991,17,40,60,40,250,35,160,15,N,50.54,60,70,13,2
992,17,40,60,40,250,35,160,15,N,52,70,74,13,2
993,17,40,60,40,250,35,160,15,N,55.84,72,78,13,2
994,17,40,60,40,250,35,160,15,N,51.25,70,72,13,2
995,17,40,60,40,250,35,160,15,N,52.96,72,76,13,2
996,17,40,60,40,250,35,160,15,N,50.46,72,75,14,2
997,17,40,60,40,250,35,160,15,N,53.67,70,73,13,2
998,17,40,60,40,250,35,160,15,N,46.03,70,74,14,2
999,17,40,60,40,250,35,160,15,N,52.81,71,76,14,2
1000,17,40,60,40,250,35,160,15,N,44.24,70,74,14,2
1011,17,40,60,40,250,35,160,25,N,47.17,74,80,14,2
1012,17,40,60,40,250,35,160,25,N,56.08,71,76,13,2
1013,17,40,60,40,250,35,160,25,N,49.33,71,76,13,2
1014,17,40,60,40,250,35,160,25,N,44.79,72,76,13,2
1015,17,40,60,40,250,35,160,25,N,46.62,72,76,13,2
1016,17,40,60,40,250,35,160,25,N,49.11,72,77,13,2
1017,17,40,60,40,250,35,160,25,N,51.25,72,77,15,2
1018,17,40,60,40,250,35,160,25,N,50.26,71,74,14,2
1019,17,40,60,40,250,35,160,25,N,46.75,70,77,13,2
1020,17,40,60,40,250,35,160,25,N,42.34,70,75,13,2
