No.,Item,Time,Power,Force,Tail Length,EFO Current,Temp,Ball-area,ball-Version ,推力數值,Ball-Size(X) ,Ball-Size(Y) ,Ball-Size(Z) 
284,5,40,60,40,250,35,160,25,P,48.83,70,70,13
285,5,40,60,40,250,35,160,25,P,49.54,72,78,14
286,5,40,60,40,250,35,160,25,P,41.29,70,69,13
287,5,40,60,40,250,35,160,25,P,49.84,68,72,14
288,5,40,60,40,250,35,160,25,P,45,68,72,13
289,5,40,60,40,250,35,160,25,P,47.96,72,73,14
290,5,40,60,40,250,35,160,25,P,45.6,70,74,13
291,5,40,60,40,250,35,160,25,N,46.62,70,72,13
292,5,40,60,40,250,35,160,25,N,51.85,70,73,13
293,5,40,60,40,250,35,160,25,N,52.74,71,72,12
294,5,40,60,40,250,35,160,25,N,47.65,74,76,13
295,5,40,60,40,250,35,160,25,N,46.92,73,77,14
296,5,40,60,40,250,35,160,25,N,43.79,74,74,13
297,5,40,60,40,250,35,160,25,N,46.56,70,73,14
298,5,40,60,40,250,35,160,25,N,41.37,72,77,13
299,5,40,60,40,250,35,160,25,N,49.63,70,76,14
300,5,40,60,40,250,35,160,25,N,42.67,72,76,13
301,6,40,75,40,250,35,160,5,P,46.03,74,77,13
302,6,40,75,40,250,35,160,5,P,48.23,78,101,11
303,6,40,75,40,250,35,160,5,P,38.67,78,82,13
304,6,40,75,40,250,35,160,5,P,44.43,78,101,13
305,6,40,75,40,250,35,160,5,P,46.72,76,87,12
306,6,40,75,40,250,35,160,5,P,46.98,80,100,11
307,6,40,75,40,250,35,160,5,P,48.39,76,95,10
308,6,40,75,40,250,35,160,5,P,47.87,76,89,13
309,6,40,75,40,250,35,160,5,P,52.03,74,89,12
310,6,40,75,40,250,35,160,5,P,50.7,70,74,11
311,6,40,75,40,250,35,160,5,N,47.73,76,82,12
312,6,40,75,40,250,35,160,5,N,48.52,78,90,11
313,6,40,75,40,250,35,160,5,N,40.07,76,87,13
314,6,40,75,40,250,35,160,5,N,42.36,76,90,13
315,6,40,75,40,250,35,160,5,N,41.17,78,89,12
316,6,40,75,40,250,35,160,5,N,45.68,76,91,11
317,6,40,75,40,250,35,160,5,N,49.48,78,90,10
318,6,40,75,40,250,35,160,5,N,49.99,74,87,13
319,6,40,75,40,250,35,160,5,N,51.63,76,94,12
320,6,40,75,40,250,35,160,5,N,36.59,76,84,11
321,6,40,75,40,250,35,160,15,P,44.09,76,95,12
322,6,40,75,40,250,35,160,15,P,42.26,76,82,13
323,6,40,75,40,250,35,160,15,P,49.75,76,94,12
324,6,40,75,40,250,35,160,15,P,48.67,72,82,12
325,6,40,75,40,250,35,160,15,P,45.64,80,100,11
326,6,40,75,40,250,35,160,15,P,49.27,78,96,12
327,6,40,75,40,250,35,160,15,P,45.4,74,87,10
328,6,40,75,40,250,35,160,15,P,50.03,76,84,13
329,6,40,75,40,250,35,160,15,P,45.06,78,95,13
330,6,40,75,40,250,35,160,15,P,46.63,74,89,13
331,6,40,75,40,250,35,160,15,N,40.04,74,90,12
332,6,40,75,40,250,35,160,15,N,52.07,76,84,12
333,6,40,75,40,250,35,160,15,N,49.08,76,89,12
334,6,40,75,40,250,35,160,15,N,50.36,76,82,12
335,6,40,75,40,250,35,160,15,N,43.89,78,88,11
336,6,40,75,40,250,35,160,15,N,41.82,76,87,12
337,6,40,75,40,250,35,160,15,N,53.05,76,88,11
338,6,40,75,40,250,35,160,15,N,45.16,74,81,12
339,6,40,75,40,250,35,160,15,N,42.64,74,80,13
340,6,40,75,40,250,35,160,15,N,37.17,76,83,13
341,6,40,75,40,250,35,160,25,P,46.65,78,100,11
342,6,40,75,40,250,35,160,25,P,47.13,72,77,14
343,6,40,75,40,250,35,160,25,P,43.15,76,89,12
344,6,40,75,40,250,35,160,25,P,39.86,76,86,13
345,6,40,75,40,250,35,160,25,P,49.26,70,75,13
346,6,40,75,40,250,35,160,25,P,42.76,72,77,12
347,6,40,75,40,250,35,160,25,P,48.52,74,94,12
348,6,40,75,40,250,35,160,25,P,42.64,76,90,12
349,6,40,75,40,250,35,160,25,P,54.38,76,92,12
350,6,40,75,40,250,35,160,25,P,54.59,74,78,14
351,6,40,75,40,250,35,160,25,N,48.66,78,96,11
352,6,40,75,40,250,35,160,25,N,46.38,78,88,11
353,6,40,75,40,250,35,160,25,N,39.05,78,80,12
354,6,40,75,40,250,35,160,25,N,49.33,78,83,13
355,6,40,75,40,250,35,160,25,N,36.92,76,85,12
356,6,40,75,40,250,35,160,25,N,41.54,76,88,13
357,6,40,75,40,250,35,160,25,N,47.94,76,84,12
358,6,40,75,40,250,35,160,25,N,51.04,78,91,11
359,6,40,75,40,250,35,160,25,N,46.19,70,83,12
360,6,40,75,40,250,35,160,25,N,42.01,76,85,14
